Country,Independence Date,Year,Approx Years of British Rule,Basis for Start Date,Name Before British,Split Up After British Left,Still a Commonwealth Realm,United After Independence,Violence or Bloodshed at Transfer,Source URL
United States,4 July 1776 (recognised 3 September 1783),1776,169,"From Jamestown, 1607",Thirteen Colonies,Partly - Loyalist north remained British,No,Yes - 13 colonies federated,"Yes - Revolutionary War 1775-83, ~25,000 American dead, ~60,000 Loyalists exiled",https://en.wikipedia.org/wiki/United_States_Declaration_of_Independence
Canada,1 July 1867 (Statute of Westminster 1931; Canada Act 1982),1867,104,"From cession of New France, 1763",British North America,No - provinces merged,Yes,Yes - grew by accretion to 1949,No - constitutional throughout,https://en.wikipedia.org/wiki/Canadian_Confederation
Australia,1 January 1901 (Statute of Westminster adopted 1942; Australia Act 1986),1901,113,"From first British settlement, 1788",Six separate colonies,No - six colonies federated,Yes,Yes - federation held,No at transfer (frontier wars against Aboriginal peoples were a separate matter),https://en.wikipedia.org/wiki/Federation_of_Australia
New Zealand,26 September 1907 (Statute of Westminster adopted 1947),1907,67,"From Treaty of Waitangi, 1840",Colony of New Zealand,No,Yes,Yes,No at transfer (New Zealand Wars 1845-72 earlier),https://en.wikipedia.org/wiki/Dominion_of_New_Zealand
South Africa,31 May 1910 (republic 31 May 1961),1910,104,"From British capture of the Cape, 1806","Cape Colony, Natal, Transvaal, Orange Free State",No - four colonies fused,No - republic since 1961,"United on paper, segregated in law","Second Boer War 1899-1902 preceded it, ~75,000 dead incl. ~28,000 Boer and ~20,000 African civilians in camps",https://en.wikipedia.org/wiki/Union_of_South_Africa
Afghanistan,19 August 1919,1919,40,British control of foreign policy from 1879,Emirate of Afghanistan,No - Durand Line already drawn in 1893,No,Yes,Yes - Third Anglo-Afghan War,https://en.wikipedia.org/wiki/Anglo-Afghan_Treaty_of_1919
Egypt,28 February 1922 (full withdrawal from Suez 1956),1922,40,"From British occupation, 1882",Sultanate of Egypt (Ottoman),Sudan separated in 1956,No - republic 1953,Yes,Yes - 1919 Revolution (~800 dead); Suez Crisis 1956,https://en.wikipedia.org/wiki/Unilateral_Declaration_of_Egyptian_Independence
Ireland,6 December 1922 (republic 18 April 1949),1922,753,From Norman invasion 1169; Act of Union 1801 (121 yrs),Kingdom of Ireland,Yes - six counties remained in the UK,No - left the Commonwealth 1949,"No - partitioned, then civil war","Yes - War of Independence 1919-21 (~2,000 dead), Irish Civil War 1922-23, Troubles 1968-98 (~3,500 dead)",https://en.wikipedia.org/wiki/Irish_Free_State
Iraq,3 October 1932,1932,15,"From British mandate, 1920","Ottoman vilayets of Baghdad, Basra and Mosul",No - three provinces welded into one,"No - monarchy to 1958, then republic",Held together only by force,"Yes - 1920 Iraqi revolt, ~10,000 dead, suppressed partly by RAF bombing",https://en.wikipedia.org/wiki/Mandatory_Iraq
Jordan,25 May 1946,1946,25,"From creation of Transjordan, 1921",Emirate of Transjordan,No,No - Hashemite monarchy,Yes,No - negotiated handover,https://en.wikipedia.org/wiki/Emirate_of_Transjordan
India,15 August 1947,1947,190,From Plassey 1757; Crown rule 1858-1947 (89 yrs),Mughal empire and princely states,Yes - partitioned into India and Pakistan,No - republic 26 January 1950,565 princely states absorbed by 1949,"Yes - 200,000 to 2 million dead, 10-20 million displaced",https://en.wikipedia.org/wiki/Indian_Independence_Act_1947
Pakistan,14 August 1947,1947,190,Same basis as India,"Punjab, Sindh, NWFP, Balochistan, Bengal","Yes - created by partition, then split again in 1971",No - republic 1956,"No - two wings 1,600 km apart",Yes - Partition violence and first Kashmir war within 10 weeks,https://en.wikipedia.org/wiki/Dominion_of_Pakistan
Burma / Myanmar,4 January 1948,1948,62,"From full annexation, 1886",Burma (renamed Myanmar 1989),Ethnic states given secession rights that were never honoured,No - left the Commonwealth entirely,No - civil war from year one,"Yes - Aung San assassinated July 1947; Karen insurgency from 1949, still ongoing",https://en.wikipedia.org/wiki/Burma_Independence_Act_1947
Sri Lanka,4 February 1948,1948,133,"From Kandyan Convention, 1815 (coast from 1796)",Ceylon (renamed Sri Lanka 1972),No,No - republic 1972; realm 1948-72,Yes - whole island as one state,"No at transfer; civil war 1983-2009 killed 80,000-100,000",https://en.wikipedia.org/wiki/Ceylon_Independence_Act_1947
Israel,14 May 1948 (mandate expired 15 May),1948,28,"From British occupation, 1917",Mandatory Palestine,Yes - UN partition plan; no Arab state emerged,No,No - two-state plan collapsed into war,"Yes - 1947-49 war; ~700,000 Palestinians displaced (Nakba)",https://en.wikipedia.org/wiki/Israeli_Declaration_of_Independence
Libya,24 December 1951,1951,8,British military administration from 1943,Italian Libya,No - three provinces federated,No - monarchy to 1969,"Federal kingdom, unified 1963",No - UN-supervised transfer,https://en.wikipedia.org/wiki/Kingdom_of_Libya
Oman,1951 Treaty of Friendship (British representatives left 1971),1951,60,British influence from 1891 agreement,Sultanate of Muscat and Oman,Zanzibar split off in 1856,No - its own sultanate,Interior imamate suppressed,"Yes - Jebel Akhdar War 1954-59 and Dhofar Rebellion 1962-76, both with British forces",https://en.wikipedia.org/wiki/Muscat_and_Oman
Sudan,1 January 1956,1956,57,"From Anglo-Egyptian reconquest, 1899",Anglo-Egyptian Sudan,South Sudan seceded in 2011,No - republic at independence,No - civil war began before independence,"Yes - Torit mutiny August 1955, four months before independence",https://en.wikipedia.org/wiki/Anglo-Egyptian_Sudan
Ghana,6 March 1957,1957,83,"From Gold Coast colony, 1874",Gold Coast and British Togoland,"No - gained territory, Togoland merged in",No - republic 1960; realm 1957-60,Yes - four territories into one,No at transfer; 1948 Accra riots preceded it,https://en.wikipedia.org/wiki/Ghana_Independence_Act_1957
Malaysia,31 August 1957 (Malaysia formed 16 September 1963),1957,171,"From Penang, 1786","Federated and Unfederated Malay States, Straits Settlements",Yes - Singapore expelled 1965,No - elects its own king every five years,"Expanded in 1963, then shrank in 1965","Yes - Malayan Emergency 1948-60, ~11,000 dead; 1969 race riots",https://en.wikipedia.org/wiki/Federation_of_Malaya_Independence_Act_1957
Cyprus,16 August 1960,1960,82,"From British administration, 1878",British Cyprus (Ottoman before),Yes - de facto partitioned since 1974; UK kept two Sovereign Base Areas,No - republic,No - bicommunal state broke down by 1963,Yes - EOKA insurgency 1955-59 (~500 dead); 1974 Turkish invasion,https://en.wikipedia.org/wiki/Zurich_and_London_Agreement
Nigeria,1 October 1960,1960,99,"From annexation of Lagos, 1861",No single predecessor state,"No - amalgamated 1914, stayed whole",No - republic 1963,"Federal, and it nearly broke",Peaceful exit; Biafran war 1967-70 killed 1-3 million,https://en.wikipedia.org/wiki/Nigeria_Independence_Act_1960
Somalia,26 June 1960 (union with Italian Somaliland 1 July 1960),1960,76,"From Somaliland protectorate, 1884",British Somaliland,Somaliland re-declared independence in 1991,No - republic,"Merged with Italian Somaliland, then collapsed",No - peaceful transfer,https://en.wikipedia.org/wiki/British_Somaliland
Sierra Leone,27 April 1961,1961,153,"From Crown colony, 1808",Sierra Leone Colony and Protectorate,No,No - republic 1971,Freetown Krio elite vs. protectorate interior,No - orderly transfer,https://en.wikipedia.org/wiki/Sierra_Leone_Independence_Act_1961
Tanzania,9 December 1961 (Zanzibar 10 December 1963; union 26 April 1964),1961,42,British mandate from 1919 (German before); Zanzibar from 1890,Tanganyika and Zanzibar,"No - a merger, not a split",No - republic 1962,Yes - united as Tanzania 26 April 1964,Zanzibar Revolution January 1964 killed thousands of Arab and South Asian islanders,https://en.wikipedia.org/wiki/Tanganyika_Independence_Act_1961
Jamaica,6 August 1962,1962,307,"From English capture from Spain, 1655",Colony of Jamaica,"No, but the West Indies Federation collapsed",Yes,Yes,No,https://en.wikipedia.org/wiki/Jamaica_Independence_Act_1962
Trinidad and Tobago,31 August 1962,1962,160,"From cession of Trinidad, 1802",Trinidad and Tobago (joined administratively 1889),"No - two islands, one state",No - republic 1976; realm 1962-76,Yes,No,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_Independence_Act_1962
Uganda,9 October 1962,1962,68,"From protectorate, 1894",Uganda Protectorate,"No, but Buganda held special status",No - republic 1963,Federal fudge that failed by 1966,No - peaceful transfer,https://en.wikipedia.org/wiki/Uganda_Independence_Act_1962
Samoa,1 January 1962,1962,48,New Zealand administration from 1914 (German before),German Samoa,Yes - American Samoa remained separate,No - own paramount chiefs as head of state,No - divided from American Samoa since 1899,Black Saturday 1929: NZ police shot 11 Mau demonstrators,https://en.wikipedia.org/wiki/History_of_Samoa
Kenya,12 December 1963,1963,68,"From East Africa Protectorate, 1895",Kenya Colony and Protectorate,Northern Frontier District disputed with Somalia,No - republic 1964; realm for one year,Yes,"Yes - Mau Mau Uprising 1952-60, 11,000+ dead, 150,000+ Kikuyu detained; UK paid compensation in 2013",https://en.wikipedia.org/wiki/Kenya_Independence_Act_1963
Malawi,6 July 1964,1964,73,"From protectorate, 1891",Nyasaland,Yes - left the Central African Federation (dissolved 31 Dec 1963),No - republic 1966,Yes,"1959 state of emergency, 51 protesters killed",https://en.wikipedia.org/wiki/Malawi_Independence_Act_1964
Zambia,24 October 1964,1964,73,"From protectorate, 1891",Northern Rhodesia,Yes - left the Central African Federation,No - republic at independence,Yes,"Lumpa Church uprising July-October 1964, ~700 dead",https://en.wikipedia.org/wiki/Zambia_Independence_Act_1964
Malta,21 September 1964,1964,164,"From British protection, 1800",Crown Colony of Malta,No,No - republic 1974; realm 1964-74,Yes,No,https://en.wikipedia.org/wiki/Malta_Independence_Act_1964
Singapore,31 August 1963 from Britain; 9 August 1965 from Malaysia,1965,146,"From founding of the port, 1819",Crown Colony of Singapore,Yes - expelled from Malaysia,No - republic,Yes,1964 race riots killed 36,https://en.wikipedia.org/wiki/Proclamation_of_Singapore
The Gambia,18 February 1965,1965,144,"From Bathurst settlement, 1821",Gambia Colony and Protectorate,No,No - republic 1970; realm 1965-70,Yes,No,https://en.wikipedia.org/wiki/Gambia_Independence_Act_1964
Maldives,26 July 1965,1965,78,"From protectorate, 1887",Maldive Islands,Suvadive secession already crushed by 1963,"No - sultanate, then republic 1968",Yes,No at transfer; British kept Gan airbase until 1976,https://en.wikipedia.org/wiki/History_of_the_Maldives
Guyana,26 May 1966,1966,152,"From formal British cession, 1814",British Guiana (Dutch before),Essequibo claimed by Venezuela,No - republic 1970,Indo- and Afro-Guyanese split,"1962-64 racial violence, ~170 dead; UK suspended the constitution in 1953",https://en.wikipedia.org/wiki/Guyana_Independence_Act_1966
Botswana,30 September 1966,1966,81,"From protectorate, 1885",Bechuanaland Protectorate,No,No - republic at independence,Yes,No,https://en.wikipedia.org/wiki/Botswana_Independence_Act_1966
Lesotho,4 October 1966,1966,98,"From British protection, 1868",Basutoland,No,No - its own monarchy,Yes,No,https://en.wikipedia.org/wiki/Lesotho_Independence_Act_1966
Barbados,30 November 1966,1966,339,"From English settlement, 1627 (unbroken)",Colony of Barbados,No,No - became a republic 30 November 2021,Yes,No,https://en.wikipedia.org/wiki/Barbados_Independence_Act_1966
South Yemen,30 November 1967,1967,128,"From capture of Aden, 1839",Aden Colony and Protectorate of South Arabia,Yes - North and South Yemen kept apart,No - Marxist republic,No - united with the North only in 1990,"Yes - Aden Emergency 1963-67, ~2,000 dead",https://en.wikipedia.org/wiki/People%27s_Democratic_Republic_of_Yemen
Nauru,31 January 1968,1968,54,Australian administration from 1914 (German before),German Nauru,No,No - republic,Yes,No,https://en.wikipedia.org/wiki/Nauru_Independence_Act_1967
Mauritius,12 March 1968,1968,158,"From British capture from France, 1810",Isle de France (French),"Yes - Chagos Archipelago detached in 1965, population expelled",No - republic 1992; realm 1968-92,Yes,"Port Louis communal riots January 1968, ~25 dead",https://en.wikipedia.org/wiki/Mauritius_Independence_Act_1968
Eswatini,6 September 1968,1968,65,"From protectorate, 1903",Swaziland (renamed Eswatini 2018),No,No - its own absolute monarchy,Yes,No,https://en.wikipedia.org/wiki/Swaziland_Independence_Act_1968
Tonga,4 June 1970,1970,70,"From Treaty of Friendship, 1900",Kingdom of Tonga,No,"No - its own monarchy, never broken",Yes,No - never colonised,https://en.wikipedia.org/wiki/History_of_Tonga
